id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0001,México,,M,Cusco Ciudad,Cusco,2025-04-11,,,Bus
V0002,Perú,70,,Huacachina,Ica,2025-08-28,,1428.7,NA
V0003,Bolivia,28,,Valle del Colca,Arequipa,,4,3504.57,Bus
V0004,Colombia,,F,Iquitos,Loreto,2025-08-11,,,NA
V0005,Argentina,,F,Lago Titicaca,Puno,,12,1562.38,
V0006,Argentina,,,Iquitos,Loreto,NA,9,,Bus
V0007,Argentina,59,F,Cusco Ciudad,Cusco,,7,,Tren
V0008,Colombia,,O,Huacachina,Ica,NA,2,779.96,Avión
V0009,España,,,Chan Chan,La Libertad,NA,12,3932.18,Bus
V0010,México,,,Chan Chan,La Libertad,NA,4,3349.78,Auto
V0011,Perú,67,O,Valle del Colca,Arequipa,2025-02-04,7,,
V0012,Brasil,19,,Valle del Colca,Arequipa,,2,204.57,NA
V0013,México,42,,Lago Titicaca,Puno,2024-06-23,13,4548.0,NA
V0014,Argentina,,O,Huacachina,Ica,,,,Auto
V0015,Brasil,,O,Huacachina,Ica,NA,11,,Bus
V0016,México,,M,Lago Titicaca,Puno,2025-05-21,10,,Bus
V0017,Perú,,M,Miraflores,Lima,2025-03-04,5,,Bus
V0018,Chile,,,Centro Histórico,Lima,2025-07-10,1,3758.42,NA
V0019,Brasil,,O,Machu Picchu,Cusco,,14,,
V0020,Argentina,,F,Iquitos,Loreto,2025-11-07,,1459.75,Bus
V0021,México,59,,Cusco Ciudad,Cusco,NA,5,,Tren
V0022,Colombia,,F,Chan Chan,La Libertad,,,3617.43,Tren
V0023,Chile,,O,Iquitos,Loreto,NA,2,3931.67,NA
V0024,Colombia,,,Valle del Colca,Arequipa,2025-12-11,,1568.24,Barco
V0025,Colombia,,M,Miraflores,Lima,NA,,1248.1,
V0026,Perú,18,O,Miraflores,Lima,NA,2,2476.48,Tren
V0027,Perú,,F,Centro Histórico,Lima,,8,,Bus
V0028,Colombia,,,Huacachina,Ica,,,,Avión
V0029,Perú,70,,Chan Chan,La Libertad,2024-11-25,,,Auto
V0030,Argentina,45,,Lago Titicaca,Puno,2025-12-19,,,NA
V0031,México,,O,Machu Picchu,Cusco,NA,14,574.73,Avión
V0032,Argentina,55,,Machu Picchu,Cusco,NA,,729.93,
V0033,Perú,18,M,Iquitos,Loreto,,,,Avión
V0034,Colombia,,,Huacachina,Ica,NA,,,Tren
V0035,Colombia,,,Lago Titicaca,Puno,2025-11-20,,,Auto
V0036,México,,O,Miraflores,Lima,,7,,Barco
V0037,USA,,O,Valle del Colca,Arequipa,NA,8,,Auto
V0038,Ecuador,,,Chan Chan,La Libertad,NA,10,,Tren
V0039,Perú,,,Valle del Colca,Arequipa,NA,,,Barco
V0040,Perú,,,Machu Picchu,Cusco,NA,,,NA
V0041,México,69,,Huacachina,Ica,,8,,NA
V0042,Chile,,M,Valle del Colca,Arequipa,2025-07-05,6,3196.88,Tren
V0043,Perú,,O,Iquitos,Loreto,NA,,,Auto
