id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0001,Perú,,F,Huacachina,Ica,NA,14,2153.83,Bus
V0002,España,,O,Iquitos,Loreto,2024-11-08,6,1018.37,Avión
V0003,Chile,,,Miraflores,Lima,,3,,Barco
V0004,Perú,57,M,Lago Titicaca,Puno,NA,14,,Barco
V0005,Perú,,F,Valle del Colca,Arequipa,NA,,,NA
V0006,Colombia,69,F,Huacachina,Ica,2024-09-09,8,424.05,NA
V0007,Brasil,60,F,Centro Histórico,Lima,,,,Bus
V0008,Bolivia,,,Huacachina,Ica,,5,,Bus
V0009,Argentina,74,M,Chan Chan,La Libertad,NA,5,,Avión
V0010,Perú,,,Cusco Ciudad,Cusco,2024-04-26,,,NA
V0011,Ecuador,38,,Centro Histórico,Lima,NA,,3066.83,Auto
V0012,México,,O,Miraflores,Lima,,3,,Bus
V0013,Perú,,,Iquitos,Loreto,,13,4246.55,NA
V0014,Argentina,,,Cusco Ciudad,Cusco,,,,Bus
V0015,Perú,,M,Machu Picchu,Cusco,2024-03-14,6,4901.94,
V0016,Colombia,,M,Valle del Colca,Arequipa,NA,,2225.0,Tren
V0017,Bolivia,,,Valle del Colca,Arequipa,NA,,1530.13,NA
V0018,México,23,,Cusco Ciudad,Cusco,,,,NA
V0019,México,,F,Lago Titicaca,Puno,2024-11-11,,,Barco
V0020,Perú,,M,Huacachina,Ica,,,2357.86,Avión
V0021,Francia,,F,Huacachina,Ica,2024-12-31,,,Auto
V0022,Perú,,,Huacachina,Ica,,6,4225.85,NA
V0023,Colombia,,,Iquitos,Loreto,2024-01-04,11,,NA
V0024,México,51,M,Chan Chan,La Libertad,2024-10-23,12,610.02,Avión
V0025,Perú,,,Valle del Colca,Arequipa,NA,,3562.88,Avión
V0026,Francia,,,Lago Titicaca,Puno,2025-11-26,,4597.79,
V0027,Chile,,F,Valle del Colca,Arequipa,,,,Auto
V0028,Ecuador,48,,Chan Chan,La Libertad,,,4452.13,
V0029,Perú,,O,Huacachina,Ica,NA,11,4362.63,NA
V0030,Perú,,M,Centro Histórico,Lima,,2,1677.27,Avión
V0031,Perú,,O,Cusco Ciudad,Cusco,NA,1,439.39,Barco
V0032,Bolivia,54,M,Lago Titicaca,Puno,NA,,,Barco
V0033,México,56,,Centro Histórico,Lima,2025-03-04,,,
V0034,Perú,15,F,Huacachina,Ica,2025-12-05,1,,NA
V0035,Alemania,,,Valle del Colca,Arequipa,,,1306.71,NA
V0036,Bolivia,28,F,Centro Histórico,Lima,NA,6,,Auto
V0037,México,,,Iquitos,Loreto,,2,1749.6,Barco
V0038,Chile,16,,Chan Chan,La Libertad,NA,9,112.22,NA
V0039,Perú,,F,Chan Chan,La Libertad,2024-07-13,4,,Avión
V0040,Argentina,,,Machu Picchu,Cusco,,,,NA
V0041,México,35,,Huacachina,Ica,2025-03-25,,,NA
V0042,Perú,,O,Cusco Ciudad,Cusco,,,4792.95,Bus
V0043,Perú,52,,Miraflores,Lima,,13,3976.57,Bus
V0044,USA,74,F,Valle del Colca,Arequipa,,7,4063.42,Tren
V0045,Argentina,62,M,Machu Picchu,Cusco,,2,,Barco
V0046,Colombia,23,,Machu Picchu,Cusco,NA,2,1235.08,
V0047,México,38,,Huacachina,Ica,NA,,,
V0048,Colombia,,M,Lago Titicaca,Puno,,4,2827.74,Avión
V0049,Chile,53,,Lago Titicaca,Puno,,,,
V0050,USA,,F,Chan Chan,La Libertad,,,,
V0051,Perú,,,Lago Titicaca,Puno,2024-09-21,13,,
V0052,Argentina,,O,Machu Picchu,Cusco,NA,1,4733.31,Tren
V0053,México,71,,Iquitos,Loreto,NA,,,Auto
V0054,Perú,53,F,Huacachina,Ica,,,,Auto
V0055,Perú,,,Machu Picchu,Cusco,2025-12-08,10,701.02,Bus
V0056,Argentina,,F,Miraflores,Lima,2025-04-20,12,2010.48,Bus
V0057,México,34,O,Centro Histórico,Lima,2025-12-15,,2281.13,Tren
V0058,Ecuador,,O,Chan Chan,La Libertad,,2,3527.25,Barco
V0059,Colombia,60,,Lago Titicaca,Puno,NA,10,,Tren
V0060,Perú,,M,Machu Picchu,Cusco,,,4049.81,Avión
V0061,Argentina,18,M,Centro Histórico,Lima,2025-04-08,8,2061.92,Auto
V0062,Perú,60,,Huacachina,Ica,,7,,Auto
V0063,Chile,,M,Chan Chan,La Libertad,NA,4,3795.74,Tren
V0064,Argentina,,F,Iquitos,Loreto,,,,Barco
V0065,Brasil,37,,Chan Chan,La Libertad,NA,8,,Barco
V0066,Perú,,,Iquitos,Loreto,2025-01-08,,,Auto
V0067,España,69,,Chan Chan,La Libertad,2024-01-17,10,3425.35,NA
V0068,Argentina,40,O,Lago Titicaca,Puno,2025-03-18,1,2162.79,NA
V0069,Perú,59,,Iquitos,Loreto,,,2562.8,Bus
V0070,Brasil,,,Valle del Colca,Arequipa,NA,,3436.82,
V0071,México,,,Huacachina,Ica,,,,Avión
V0072,Chile,22,,Huacachina,Ica,2025-06-18,,,Barco
V0073,México,39,M,Huacachina,Ica,,5,3287.01,NA
V0074,Perú,68,F,Centro Histórico,Lima,2025-10-14,,715.5,Bus
V0075,USA,,,Cusco Ciudad,Cusco,,,1357.03,Barco
V0076,Perú,71,O,Centro Histórico,Lima,,,,
V0077,Perú,,,Huacachina,Ica,2025-05-31,,2764.48,Tren
V0078,Chile,22,M,Cusco Ciudad,Cusco,NA,,,
V0079,Perú,33,,Valle del Colca,Arequipa,2024-08-03,,491.38,Bus
